single_ID	Name_EMA	Approved_Europe	Name_PMDA	Approved_Japan	Name_Orange_Book	Approved_USA	Available_USA	ID_Label	Therapy_Name	Combination_Therapy	Ingredient_IDs	Equivalent_IDs	is_steroid	is_antimicrobial	is_chemotherapy	is_glucose_regulator
CHEBI:10124		False		False	ZOLMITRIPTAN	True	RX	Zolmitriptan	ZOLMITRIPTAN	False		['CHEBI:10124', 'UNII:2FS66TH3YW', 'PUBCHEM.COMPOUND:60857', 'CHEMBL.COMPOUND:CHEMBL1185', 'DRUGBANK:DB00315', 'MESH:C089750', 'CAS:139264-17-8', 'CAS:139264-25-8', 'DrugCentral:2869', 'GTOPDB:60', 'HMDB:HMDB0014460', 'KEGG.COMPOUND:C07218', 'INCHIKEY:ULSDMUVEXKOYBU-ZDUSSCGKSA-N', 'UMLS:C0528166', 'RXCUI:135775', 'RXCUI:153353', 'UMLS:C0594404', 'RXCUI:153354', 'UMLS:C0594405', 'RXCUI:200193', 'UMLS:C0694104', 'RXCUI:200194', 'UMLS:C0694105', 'RXCUI:213167', 'UMLS:C0716155', 'RXCUI:284201', 'UMLS:C0938656', 'RXCUI:316933', 'UMLS:C0991488', 'RXCUI:317540', 'UMLS:C0993157', 'RXCUI:351134', 'UMLS:C1168685', 'RXCUI:368302', 'UMLS:C1242284', 'RXCUI:374363', 'UMLS:C1248442', 'RXCUI:374653', 'UMLS:C1248742', 'RXCUI:402000', 'UMLS:C1319708', 'RXCUI:402169', 'UMLS:C1320335', 'RXCUI:402391', 'UMLS:C1321693', 'RXCUI:402392', 'UMLS:C1321694', 'RXCUI:402420', 'UMLS:C1321735', 'RXCUI:565245', 'UMLS:C1597681', 'RXCUI:573092', 'UMLS:C1607284', 'RXCUI:576112', 'UMLS:C1593814', 'RXCUI:901801', 'UMLS:C2746141', 'RXCUI:901802', 'UMLS:C0939666', 'RXCUI:901803', 'UMLS:C1169650', 'RXCUI:1156254', 'UMLS:C3210693', 'RXCUI:1156255', 'UMLS:C3210694', 'RXCUI:1156256', 'UMLS:C1445594', 'RXCUI:1156257', 'UMLS:C3210695', 'RXCUI:1188175', 'UMLS:C3241906', 'RXCUI:1188176', 'UMLS:C3241907', 'RXCUI:1188177', 'UMLS:C3241908', 'RXCUI:1188178', 'UMLS:C3241909', 'RXCUI:1295525', 'UMLS:C3466188', 'RXCUI:1296956', 'UMLS:C3467547', 'RXCUI:1483676', 'UMLS:C3696688', 'RXCUI:1483677', 'UMLS:C3695384', 'RXCUI:1483678', 'UMLS:C3696489', 'RXCUI:1483679', 'UMLS:C3695349']	FALSE	FALSE	FALSE	FALSE
CHEBI:10127	zonisamide	True		False		False		Zonisamide	zonisamide	False		['CHEBI:10127', 'UNII:459384H98V', 'PUBCHEM.COMPOUND:5734', 'CHEMBL.COMPOUND:CHEMBL750', 'DRUGBANK:DB00909', 'MESH:D000078305', 'CAS:68291-97-4', 'DrugCentral:2872', 'GTOPDB:7047', 'HMDB:HMDB0015045', 'KEGG.COMPOUND:C07504', 'INCHIKEY:UBQNRHZMVUUOMG-UHFFFAOYSA-N', 'UMLS:C0078844', 'RXCUI:39998', 'RXCUI:259224', 'RXCUI:261708', 'UMLS:C0876224', 'RXCUI:284408', 'UMLS:C0938979', 'RXCUI:314285', 'UMLS:C0981800', 'RXCUI:330418', 'UMLS:C1126075', 'RXCUI:366554', 'UMLS:C1240523', 'RXCUI:374625', 'UMLS:C1248712', 'RXCUI:375369', 'RXCUI:403966', 'UMLS:C1329171', 'RXCUI:403967', 'UMLS:C1329172', 'RXCUI:404725', 'UMLS:C1329930', 'RXCUI:406298', 'UMLS:C1331568', 'RXCUI:406299', 'UMLS:C1331569', 'RXCUI:574848', 'UMLS:C1592574', 'RXCUI:576610', 'UMLS:C1594302', 'RXCUI:1156263', 'UMLS:C3210701', 'RXCUI:1156264', 'UMLS:C3210702', 'RXCUI:1186309', 'UMLS:C3240063', 'RXCUI:1186310', 'UMLS:C3240064', 'RXCUI:2606779', 'UMLS:C5699630', 'RXCUI:2606780', 'UMLS:C5699661', 'RXCUI:2606781', 'UMLS:C5699652', 'RXCUI:2606782', 'UMLS:C5699508', 'RXCUI:2606783', 'UMLS:C5699574', 'RXCUI:2606784', 'UMLS:C5699585', 'RXCUI:2606785', 'UMLS:C5699614', 'RXCUI:2606786', 'UMLS:C5699615', 'RXCUI:2606787', 'UMLS:C5699603', 'RXCUI:2606788', 'UMLS:C5699040']	FALSE	FALSE	FALSE	FALSE
CHEBI:132268		False	DACOMITINIB HYDRATE	True		False		Dacomitinib	DACOMITINIB 	False		['CHEBI:132268', 'UNII:2XJX250C20', 'PUBCHEM.COMPOUND:11511120', 'CHEMBL.COMPOUND:CHEMBL2110732', 'DRUGBANK:DB11963', 'CAS:1110813-31-4', 'DrugCentral:5297', 'GTOPDB:7422', 'INCHIKEY:LVXJQMNHJWSHET-AATRIKPKSA-N', 'UNII:5092U85G58', 'PUBCHEM.COMPOUND:70693519', 'CHEMBL.COMPOUND:CHEMBL2105719', 'MESH:C525726', 'CAS:1042385-75-0', 'INCHIKEY:BSPLGGCPNTZPIH-IPZCTEOASA-N', 'UMLS:C2987430', 'RXCUI:2058849', 'RXCUI:2058910', 'UMLS:C4731589', 'RXCUI:2058911', 'UMLS:C4731590', 'RXCUI:2058913', 'UMLS:C4731591', 'RXCUI:2058914', 'UMLS:C4731592', 'RXCUI:2058915', 'UMLS:C4731593', 'RXCUI:2058916', 'UMLS:C4731594', 'RXCUI:2058917', 'UMLS:C4731595', 'RXCUI:2058919', 'UMLS:C4731596', 'RXCUI:2058920', 'UMLS:C4731597', 'RXCUI:2058921', 'UMLS:C4731598', 'RXCUI:2058922', 'UMLS:C4731599', 'RXCUI:2058923', 'UMLS:C4731600', 'RXCUI:2058924', 'UMLS:C4731601', 'RXCUI:2058925', 'UMLS:C4731602', 'RXCUI:2058926', 'UMLS:C4731603', 'RXCUI:2058929', 'UMLS:C4731604', 'RXCUI:2058930', 'UMLS:C4731605', 'RXCUI:2058931', 'UMLS:C4731606', 'RXCUI:2058932', 'UMLS:C4731607', 'UMLS:C4518884', 'RXCUI:2058848']	FALSE	FALSE	FALSE	FALSE
CHEBI:133011		False		False	OXYTETRACYCLINE HYDROCHLORIDE	True	DISCONTINUED	oxytetracycline	OXYTETRACYCLINE 	False		['CHEBI:133011', 'CHEBI:27701', 'UNII:X20I9EN955', 'PUBCHEM.COMPOUND:54675779', 'PUBCHEM.COMPOUND:121596244', 'CHEMBL.COMPOUND:CHEMBL1892210', 'MESH:D010118', 'CAS:79-57-2', 'INCHIKEY:SRRPEXWCHWWJOC-JEKSYDDFSA-N', 'UNII:SLF0D9077S', 'CHEMBL.COMPOUND:CHEMBL1517', 'DRUGBANK:DB00595', 'DrugCentral:2041', 'KEGG.COMPOUND:C06624', 'INCHIKEY:IWVCMVBTMGNXQD-PXOLEDIWSA-N', 'UMLS:C0030092', 'RXCUI:7821', 'RXCUI:202964', 'UMLS:C0699935', 'RXCUI:248390', 'UMLS:C0789818', 'RXCUI:312183', 'UMLS:C0979230', 'RXCUI:312188', 'UMLS:C0979236', 'RXCUI:312190', 'UMLS:C0979238', 'RXCUI:316423', 'UMLS:C0988346', 'RXCUI:316424', 'UMLS:C0988347', 'RXCUI:317570', 'UMLS:C0993191', 'RXCUI:330477', 'UMLS:C1126147', 'RXCUI:330747', 'UMLS:C1126502', 'RXCUI:337490', 'UMLS:C1135080', 'RXCUI:339996', 'UMLS:C1140031', 'RXCUI:373208', 'UMLS:C1247271', 'RXCUI:373209', 'UMLS:C1247272', 'RXCUI:373210', 'UMLS:C1247273', 'RXCUI:542377', 'UMLS:C1587960', 'RXCUI:542378', 'UMLS:C1587961', 'RXCUI:542379', 'UMLS:C1585619', 'RXCUI:584291', 'UMLS:C1615805', 'RXCUI:584292', 'UMLS:C1620482', 'RXCUI:631399', 'UMLS:C1702550', 'RXCUI:631401', 'UMLS:C1703094', 'RXCUI:631402', 'UMLS:C1703977', 'RXCUI:631403', 'UMLS:C1693737', 'RXCUI:1013699', 'UMLS:C2939636', 'RXCUI:1013700', 'UMLS:C2939637', 'RXCUI:1013701', 'UMLS:C2939638', 'RXCUI:1013702', 'UMLS:C2939639', 'RXCUI:1094904', 'UMLS:C0701958', 'RXCUI:1094905', 'UMLS:C3152343', 'RXCUI:1094906', 'UMLS:C3152344', 'RXCUI:1094907', 'UMLS:C3152345', 'RXCUI:1162277', 'UMLS:C3216607', 'RXCUI:1162891', 'UMLS:C3217212', 'RXCUI:1162892', 'UMLS:C3217213', 'RXCUI:1162893', 'UMLS:C3217214', 'RXCUI:1174321', 'UMLS:C3228338', 'RXCUI:1177939', 'UMLS:C3231855', 'RXCUI:1182663', 'UMLS:C3236498', 'RXCUI:1182664', 'UMLS:C3236499', 'RXCUI:1185713', 'UMLS:C3239485', 'RXCUI:1607969', 'UMLS:C4018303', 'RXCUI:1607970', 'UMLS:C4018304', 'RXCUI:1607971', 'UMLS:C4018305', 'RXCUI:1607972', 'UMLS:C4018306', 'RXCUI:1607973', 'UMLS:C4018307', 'RXCUI:1812264', 'UMLS:C4291404', 'RXCUI:1812265', 'UMLS:C4291457', 'RXCUI:1812266', 'UMLS:C4291489', 'RXCUI:1812267', 'UMLS:C4291515', 'RXCUI:1812268', 'UMLS:C4291085', 'RXCUI:1812269', 'UMLS:C4291403', 'RXCUI:1812270', 'UMLS:C4291456', 'RXCUI:1812271', 'UMLS:C4291488', 'RXCUI:1812272', 'UMLS:C4291514', 'RXCUI:1812273', 'UMLS:C4291084', 'RXCUI:1857716', 'UMLS:C4293549', 'RXCUI:1857717', 'UMLS:C4293031', 'RXCUI:2108848', 'UMLS:C4745995', 'RXCUI:2645943', 'UMLS:C5835049', 'RXCUI:2649421', 'UMLS:C5837909', 'RXCUI:2659274', 'UMLS:C5843083', 'RXCUI:2660918', 'UMLS:C5844725', 'RXCUI:2663173', 'UMLS:C5846977', 'UMLS:C0282277', 'RXCUI:82065', 'UMLS:C0887052', 'RXCUI:266974', 'UMLS:C2698682', 'RXCUI:1545999', 'UMLS:C0017449', 'RXCUI:4780']	FALSE	TRUE	FALSE	FALSE
CHEBI:134689		False		False	RUCAPARIB CAMSYLATE	True	RX	Rucaparib	RUCAPARIB CAMSYLATE	False		['CHEBI:134689', 'UNII:8237F3U7EH', 'PUBCHEM.COMPOUND:9931954', 'CHEMBL.COMPOUND:CHEMBL1173055', 'DRUGBANK:DB12332', 'MESH:C531549', 'CAS:283173-50-2', 'DrugCentral:5203', 'GTOPDB:7736', 'HMDB:HMDB0257361', 'INCHIKEY:HMABYWSNWIZPAG-UHFFFAOYSA-N', 'UMLS:C3661315', 'RXCUI:1862579', 'CHEBI:134692', 'UNII:41AX9SJ8KO', 'PUBCHEM.COMPOUND:121490161', 'CHEMBL.COMPOUND:CHEMBL3833368', 'CAS:1859053-21-6', 'INCHIKEY:INBJJAFXHQQSRW-STOWLHSFSA-N', 'RXCUI:1862580', 'UMLS:C4294684', 'RXCUI:1862581', 'UMLS:C4294710', 'RXCUI:1862582', 'UMLS:C4294709', 'RXCUI:1862583', 'UMLS:C4294698', 'RXCUI:1862584', 'UMLS:C4294573', 'RXCUI:1862585', 'UMLS:C4294561', 'RXCUI:1862586', 'UMLS:C4294613', 'RXCUI:1862587', 'UMLS:C4294636', 'RXCUI:1862588', 'UMLS:C4294651', 'RXCUI:1862589', 'UMLS:C4294650', 'RXCUI:1862590', 'UMLS:C4293944', 'RXCUI:1862592', 'UMLS:C4294683', 'RXCUI:1862593', 'UMLS:C4294572', 'RXCUI:1862594', 'UMLS:C4294612', 'RXCUI:1862595', 'UMLS:C4293942', 'RXCUI:1921586', 'UMLS:C4475456', 'RXCUI:1921587', 'UMLS:C4475457', 'RXCUI:1921588', 'UMLS:C4475458', 'RXCUI:1921589', 'UMLS:C4475459', 'UMLS:C4294472', 'RXCUI:1862578']	FALSE	FALSE	FALSE	FALSE
CHEBI:134709	pitolisant	True		False		False		Pitolisant	pitolisant	False		['CHEBI:134709', 'UNII:4BC83L4PIY', 'PUBCHEM.COMPOUND:9948102', 'CHEMBL.COMPOUND:CHEMBL462605', 'DRUGBANK:DB11642', 'MESH:C516975', 'CAS:362665-56-3', 'DrugCentral:5048', 'GTOPDB:8924', 'HMDB:HMDB0256619', 'INCHIKEY:NNACHAUCXXVJSP-UHFFFAOYSA-N', 'UMLS:C3529928', 'RXCUI:2197878', 'UNII:YV33CH63HI', 'PUBCHEM.COMPOUND:11551689', 'CHEMBL.COMPOUND:CHEMBL4164059', 'CAS:903576-44-3', 'INCHIKEY:XLFKECRRMPOAQS-UHFFFAOYSA-N', 'RXCUI:2197880', 'UMLS:C5207837', 'RXCUI:2197881', 'UMLS:C5207897', 'RXCUI:2197882', 'UMLS:C5207898', 'RXCUI:2197883', 'UMLS:C5207879', 'RXCUI:2197884', 'UMLS:C5207263', 'RXCUI:2197885', 'UMLS:C5207649', 'RXCUI:2197886', 'UMLS:C5207681', 'RXCUI:2197887', 'UMLS:C5207790', 'RXCUI:2197888', 'UMLS:C5207807', 'RXCUI:2197889', 'UMLS:C5207808', 'RXCUI:2197890', 'UMLS:C5207105', 'RXCUI:2197891', 'UMLS:C5207838', 'RXCUI:2197892', 'UMLS:C5207264', 'RXCUI:2197893', 'UMLS:C5207682', 'RXCUI:2197894', 'UMLS:C5207324', 'UMLS:C4762343', 'RXCUI:2197879']	FALSE	FALSE	FALSE	FALSE
CHEBI:134745	glycerol phenylbutyrate	True		False		False		Glycerol phenylbutyrate	glycerol phenylbutyrate	False		['CHEBI:134745', 'UNII:ZH6F1VCV7B', 'PUBCHEM.COMPOUND:10482134', 'CHEMBL.COMPOUND:CHEMBL2105745', 'DRUGBANK:DB08909', 'MESH:C570223', 'CAS:611168-24-2', 'DrugCentral:4745', 'HMDB:HMDB0252844', 'INCHIKEY:ZSDBFLMJVAGKOU-UHFFFAOYSA-N', 'UMLS:C3490329', 'RXCUI:1368451', 'RXCUI:1368452', 'UMLS:C3536441', 'RXCUI:1368453', 'UMLS:C3536357', 'RXCUI:1368454', 'UMLS:C3535796', 'RXCUI:1368455', 'UMLS:C3536071', 'RXCUI:1368457', 'UMLS:C3536278', 'RXCUI:1368458', 'UMLS:C3536277', 'RXCUI:1368459', 'UMLS:C3535947', 'RXCUI:2106746', 'UMLS:C4741725', 'RXCUI:2106747', 'UMLS:C4741726', 'RXCUI:2106748', 'UMLS:C4741727', 'RXCUI:2106768', 'UMLS:C4741732']	FALSE	FALSE	FALSE	FALSE
CHEBI:135285	vildagliptin	True		False		False		Vildagliptin	vildagliptin	False		['CHEBI:135285', 'UNII:I6B4B2U96P', 'PUBCHEM.COMPOUND:6918537', 'CHEMBL.COMPOUND:CHEMBL142703', 'DRUGBANK:DB04876', 'MESH:D000077597', 'DrugCentral:3642', 'GTOPDB:6310', 'HMDB:HMDB0015596', 'INCHIKEY:SYOKIDBDQMKNDQ-XWTIBIIYSA-N', 'UMLS:C1570906', 'RXCUI:596554', 'RXCUI:757708', 'UMLS:C2240778', 'RXCUI:757709', 'UMLS:C2240779', 'RXCUI:757710', 'UMLS:C1997841', 'RXCUI:757711', 'UMLS:C2240780', 'RXCUI:757712', 'UMLS:C1997956', 'RXCUI:1164580', 'UMLS:C3218853', 'RXCUI:1164581', 'UMLS:C3218854']	FALSE	FALSE	FALSE	TRUE
CHEBI:135515		False	BENDAMUSTINE HYDROCHLORIDE	True		False		Bendamustine	BENDAMUSTINE 	False		['CHEBI:135515', 'UNII:9266D9P3PQ', 'PUBCHEM.COMPOUND:65628', 'CHEMBL.COMPOUND:CHEMBL487253', 'DRUGBANK:DB06769', 'MESH:C001758', 'CAS:16506-27-7', 'DrugCentral:302', 'GTOPDB:7478', 'HMDB:HMDB0248945', 'INCHIKEY:YTKUWDBFDASYHO-UHFFFAOYSA-N', 'UMLS:C0525079', 'RXCUI:134547', 'UNII:981Y8SX18M', 'CHEMBL.COMPOUND:CHEMBL1201734', 'MESH:D000069461', 'INCHIKEY:ZHSKUOZOLHMKEA-UHFFFAOYSA-N', 'UMLS:C0772139', 'RXCUI:1114693', 'PUBCHEM.COMPOUND:77082', 'CAS:3543-75-7', 'CAS:97832-05-8', 'RXCUI:741098', 'UMLS:C1879798', 'RXCUI:790322', 'UMLS:C2341645', 'RXCUI:1160009', 'UMLS:C3214385', 'RXCUI:1179668', 'UMLS:C3233536', 'RXCUI:1726096', 'UMLS:C4060351', 'RXCUI:1726097', 'UMLS:C4059374', 'RXCUI:1726098', 'UMLS:C4060059', 'RXCUI:1726099', 'UMLS:C4060140', 'RXCUI:1726100', 'UMLS:C4060207', 'RXCUI:1726101', 'UMLS:C4060270', 'RXCUI:1726102', 'UMLS:C4059192', 'RXCUI:1804999', 'UMLS:C4276298', 'RXCUI:1805000', 'UMLS:C4255456', 'RXCUI:1805001', 'UMLS:C2315873', 'RXCUI:1805002', 'UMLS:C4276158', 'RXCUI:1805003', 'UMLS:C4276227', 'RXCUI:1805004', 'UMLS:C2341743', 'RXCUI:1805006', 'UMLS:C4276297', 'RXCUI:1805007', 'UMLS:C4083081', 'RXCUI:1805008', 'UMLS:C4276157', 'RXCUI:1805009', 'UMLS:C4083086', 'RXCUI:2178262', 'UMLS:C5188024', 'RXCUI:2178263', 'UMLS:C5188025', 'RXCUI:2178264', 'UMLS:C5188026', 'RXCUI:2178265', 'UMLS:C5188027', 'RXCUI:2178266', 'UMLS:C4760808', 'RXCUI:2622914', 'UMLS:C5709378', 'RXCUI:2646014', 'UMLS:C5835093', 'RXCUI:2647666', 'UMLS:C5836446', 'RXCUI:2655372', 'UMLS:C5839237', 'RXCUI:2655434', 'UMLS:C5839299', 'RXCUI:2658901', 'UMLS:C5842751', 'RXCUI:2662801', 'UMLS:C5846605']	FALSE	FALSE	TRUE	FALSE
CHEBI:135613	regadenoson	True		False		False		Regadenoson	regadenoson	False		['CHEBI:135613', 'UNII:7AXV542LZ4', 'PUBCHEM.COMPOUND:219024', 'CHEMBL.COMPOUND:CHEMBL317052', 'DRUGBANK:DB06213', 'MESH:C430916', 'CAS:313348-27-5', 'DrugCentral:2362', 'GTOPDB:5596', 'INCHIKEY:LZPZPHGJDAGEJZ-AKAIJSEGSA-N', 'UMLS:C1698215', 'RXCUI:640062', 'UMLS:C3848585', 'RXCUI:1546015']	FALSE	FALSE	FALSE	FALSE
