	Unnamed: 0_x	single_ID	ID_Label_x	Name_EMA	Therapy_Name_x	Approved_Europe	Combination_Therapy_x	Ingredient_IDs_x	Unnamed: 0_y	Name_PMDA	Therapy_Name_y	ID_Label_y	Approved_Japan	Combination_Therapy_y	Ingredient_IDs_y	Unnamed: 0	ID_Label	Name_Orange_Book	Therapy_Name	Approved_USA	Combination_Therapy	Ingredient_IDs	Available_USA
0		CHEBI:100147														471.0	Nalidixic acid	NALIDIXIC ACID	NALIDIXIC ACID	True	False		DISCONTINUED
1	186.0	CHEBI:10023	Voriconazole	VORICONAZOLE	VORICONAZOLE	True	False		718.0	VORICONAZOLE	VORICONAZOLE	Voriconazole	True	False		1451.0	Voriconazole	VORICONAZOLE	VORICONAZOLE	True	False		RX
2		CHEBI:100246														597.0	Norfloxacin	NORFLOXACIN	NORFLOXACIN	True	False		DISCONTINUED
3		CHEBI:10033							173.0	WARFARIN POTASSIUM	WARFARIN	Warfarin	True	False		51.0	Warfarin	WARFARIN SODIUM	WARFARIN 	True	False		RX
4		CHEBI:10100														388.0	Zafirlukast	ZAFIRLUKAST	ZAFIRLUKAST	True	False		RX
5		CHEBI:10101														1000.0	Zalcitabine	ZALCITABINE	ZALCITABINE	True	False		DISCONTINUED
6		CHEBI:10102														2034.0	Zaleplon	ZALEPLON	ZALEPLON	True	False		RX
7		CHEBI:101085														143.0	Diclofenamide	DICHLORPHENAMIDE	DICHLORPHENAMIDE	True	False		RX
8		CHEBI:101096														1119.0	Ethoxzolamide	ETHOXZOLAMIDE	ETHOXZOLAMIDE	True	False		DISCONTINUED
9	889.0	CHEBI:10110	Zidovudine	ZIDOVUDINE	ZIDOVUDINE	True	False									985.0	Zidovudine	ZIDOVUDINE	ZIDOVUDINE	True	False		RX
10		CHEBI:10112														1534.0	Zileuton	ZILEUTON	ZILEUTON	True	False		RX
11		CHEBI:10119														2014.0	Ziprasidone	ZIPRASIDONE MESYLATE	ZIPRASIDONE 	True	False		RX
12		CHEBI:10124														1168.0	Zolmitriptan	ZOLMITRIPTAN	ZOLMITRIPTAN	True	False		RX
13		CHEBI:10125														1859.0	Zolpidem	ZOLPIDEM TARTRATE	ZOLPIDEM 	True	False		RX
14	350.0	CHEBI:10127	Zonisamide	ZONISAMIDE	ZONISAMIDE	True	False		1068.0	ZONISAMIDE	ZONISAMIDE	Zonisamide	True	False		1364.0	Zonisamide	ZONISAMIDE	ZONISAMIDE	True	False		RX
15		CHEBI:101278														1030.0	Diltiazem	DILTIAZEM HYDROCHLORIDE	DILTIAZEM 	True	False		RX
16		CHEBI:102130														2620.0	Sulfamerazine	SULFAMERAZINE	SULFAMERAZINE	True	False		UNSURE
17		CHEBI:102484														2005.0	Sulfisoxazole	SULFISOXAZOLE ACETYL	SULFISOXAZOLE ACETYL	True	False		DISCONTINUED
18		CHEBI:102484														2416.0	Sulfisoxazole	SULFISOXAZOLE	SULFISOXAZOLE	True	False		DISCONTINUED
19		CHEBI:102524														2515.0	Butalbital	BUTALBITAL	BUTALBITAL	True	False		UNSURE
20		CHEBI:10304														2509.0	Levonordefrin	LEVONORDEFRIN	LEVONORDEFRIN	True	False		UNSURE
21		CHEBI:10650														949.0	Sumatriptan	SUMATRIPTAN SUCCINATE	SUMATRIPTAN SUCCINATE	True	False		RX
22		CHEBI:10650														2370.0	Sumatriptan	SUMATRIPTAN	SUMATRIPTAN	True	False		RX
23		CHEBI:109549							526.0	RAMELTEON	RAMELTEON	Ramelteon	True	False		1357.0	Ramelteon	RAMELTEON	RAMELTEON	True	False		RX
24		CHEBI:114203														2040.0	Phenyl aminosalicylate	PHENYL AMINOSALICYLATE	PHENYL AMINOSALICYLATE	True	False		DISCONTINUED
25	678.0	CHEBI:119486	Efavirenz	EFAVIRENZ	EFAVIRENZ	True	False									2449.0	Efavirenz	EFAVIRENZ	EFAVIRENZ	True	False		RX
26	21.0	CHEBI:125354	Plerixafor	PLERIXAFOR	PLERIXAFOR	True	False		267.0	PLERIXAFOR	PLERIXAFOR	Plerixafor	True	False		1273.0	Plerixafor	PLERIXAFOR	PLERIXAFOR	True	False		RX
27		CHEBI:127342							222.0	ATOMOXETINE HYDROCHLORIDE	ATOMOXETINE	Atomoxetine	True	False		268.0	Atomoxetine	ATOMOXETINE HYDROCHLORIDE	ATOMOXETINE 	True	False		RX
28		CHEBI:12777														231.0	Vitamin A	VITAMIN A	VITAMIN A	True	False		DISCONTINUED
29		CHEBI:12777														1754.0	Vitamin A	VITAMIN A PALMITATE	VITAMIN A PALMITATE	True	False		RX
30	538.0	CHEBI:131169	Duvelisib	DUVELISIB	DUVELISIB	True	False									154.0	Duvelisib	DUVELISIB	DUVELISIB	True	False		RX
31		CHEBI:131527														2512.0	Dipotassium phosphate	POTASSIUM PHOSPHATE, DIBASIC	POTASSIUM PHOSPHATE, DIBASIC	True	False		UNSURE
32		CHEBI:131716							844.0	GARENOXACIN MESILATE	GARENOXACIN	Garenoxacin	True	False									
33		CHEBI:132153							1256.0	SODIUM HYALURONATE	HYALURONATE	hyaluronate	True	False									
34	379.0	CHEBI:132268	Dacomitinib	DACOMITINIB	DACOMITINIB	True	False		1123.0	DACOMITINIB HYDRATE	DACOMITINIB	Dacomitinib	True	False		112.0	Dacomitinib	DACOMITINIB	DACOMITINIB	True	False		RX
35		CHEBI:132767							315.0	FERRIC CITRATE HYDRATE	FERRIC	Ferric pyrophosphate	True	False		1703.0	Ferric pyrophosphate	FERRIC PYROPHOSPHATE CITRATE	FERRIC PYROPHOSPHATE 	True	False		DISCONTINUED
36	423.0	CHEBI:132774	Roxadustat	ROXADUSTAT	ROXADUSTAT	True	False		69.0	ROXADUSTAT	ROXADUSTAT	Roxadustat	True	False									
37		CHEBI:132842														2362.0	Sulfapyridine	SULFAPYRIDINE	SULFAPYRIDINE	True	False		DISCONTINUED
38	961.0	CHEBI:132967	Elbasvir	ELBASVIR	ELBASVIR	True	False		1019.0	ELBASVIR	ELBASVIR	Elbasvir	True	False		2513.0	Elbasvir	ELBASVIR	ELBASVIR	True	False		UNSURE
39	962.0	CHEBI:132975	Grazoprevir	GRAZOPREVIR	GRAZOPREVIR	True	False		561.0	GRAZOPREVIR HYDRATE	GRAZOPREVIR	Grazoprevir	True	False		2514.0	Grazoprevir	GRAZOPREVIR	GRAZOPREVIR	True	False		UNSURE
40	942.0	CHEBI:133009	Velpatasvir	VELPATASVIR	VELPATASVIR	True	False		1317.0	VELPATASVIR	VELPATASVIR	Velpatasvir	True	False		2618.0	Velpatasvir	VELPATASVIR	VELPATASVIR	True	False		UNSURE
41	349.0	CHEBI:133013	Brivaracetam	BRIVARACETAM	BRIVARACETAM	True	False									790.0	Brivaracetam	BRIVARACETAM	BRIVARACETAM	True	False		RX
42		CHEBI:133014														2305.0	pimavanserin tartrate	PIMAVANSERIN TARTRATE	PIMAVANSERIN 	True	False		RX
43	164.0	CHEBI:133021	Venetoclax	VENETOCLAX	VENETOCLAX	True	False		634.0	VENETOCLAX	VENETOCLAX	Venetoclax	True	False		1796.0	Venetoclax	VENETOCLAX	VENETOCLAX	True	False		RX
