	single_ID	Name_EMA	Approved_Europe	Name_PMDA	Approved_Japan	Name_Orange_Book	Approved_USA	Available_USA	ID_Label	Therapy_Name	Combination_Therapy	Ingredient_IDs
0	CHEBI:100147		FALSE		FALSE	NALIDIXIC ACID	TRUE	DISCONTINUED	Nalidixic acid	NALIDIXIC ACID	FALSE	
1	CHEBI:10023	VORICONAZOLE	TRUE	VORICONAZOLE	TRUE	VORICONAZOLE	TRUE	RX	Voriconazole	VORICONAZOLE	FALSE	
2	CHEBI:100246		FALSE		FALSE	NORFLOXACIN	TRUE	DISCONTINUED	Norfloxacin	NORFLOXACIN	FALSE	
3	CHEBI:10033		FALSE	WARFARIN POTASSIUM	TRUE	WARFARIN SODIUM	TRUE	RX	Warfarin	WARFARIN	FALSE	
4	CHEBI:10033		FALSE	WARFARIN POTASSIUM	TRUE	WARFARIN POTASSIUM	TRUE	DISCONTINUED	Warfarin	WARFARIN	FALSE	
5	CHEBI:10100		FALSE		FALSE	ZAFIRLUKAST	TRUE	RX	Zafirlukast	ZAFIRLUKAST	FALSE	
6	CHEBI:10101		FALSE		FALSE	ZALCITABINE	TRUE	DISCONTINUED	Zalcitabine	ZALCITABINE	FALSE	
7	CHEBI:10102		FALSE		FALSE	ZALEPLON	TRUE	RX	Zaleplon	ZALEPLON	FALSE	
8	CHEBI:101085		FALSE		FALSE	DICHLORPHENAMIDE	TRUE	RX	Diclofenamide	DICHLORPHENAMIDE	FALSE	
9	CHEBI:101096		FALSE		FALSE	ETHOXZOLAMIDE	TRUE	DISCONTINUED	Ethoxzolamide	ETHOXZOLAMIDE	FALSE	
10	CHEBI:10110	ZIDOVUDINE	TRUE		FALSE	ZIDOVUDINE	TRUE	RX	Zidovudine	ZIDOVUDINE	FALSE	
11	CHEBI:10112		FALSE		FALSE	ZILEUTON	TRUE	RX	Zileuton	ZILEUTON	FALSE	
12	CHEBI:10119		FALSE		FALSE	ZIPRASIDONE MESYLATE	TRUE	RX	Ziprasidone	ZIPRASIDONE 	FALSE	
13	CHEBI:10119		FALSE		FALSE	ZIPRASIDONE HYDROCHLORIDE	TRUE	RX	Ziprasidone	ZIPRASIDONE 	FALSE	
14	CHEBI:10124		FALSE		FALSE	ZOLMITRIPTAN	TRUE	RX	Zolmitriptan	ZOLMITRIPTAN	FALSE	
15	CHEBI:10125		FALSE		FALSE	ZOLPIDEM TARTRATE	TRUE	RX	Zolpidem	ZOLPIDEM 	FALSE	
16	CHEBI:10127	ZONISAMIDE	TRUE	ZONISAMIDE	TRUE	ZONISAMIDE	TRUE	RX	Zonisamide	ZONISAMIDE	FALSE	
17	CHEBI:101278		FALSE		FALSE	DILTIAZEM HYDROCHLORIDE	TRUE	RX	Diltiazem	DILTIAZEM 	FALSE	
18	CHEBI:102130		FALSE		FALSE	SULFAMERAZINE	TRUE	UNSURE	Sulfamerazine	SULFAMERAZINE	FALSE	
19	CHEBI:102166		FALSE		FALSE	THIOPENTAL SODIUM	TRUE	DISCONTINUED	Thiopental	THIOPENTAL 	FALSE	
